assay_id	assay_name	assay_type	target_analytes	detection_method	detection_limit	dynamic_range	protocol_reference	equipment_required	sample_preparation	data_output_format	Download URL	source
OBI:TRL-001	Time-Resolved Lanthanide Luminescence Assay	time-resolved luminescence (TRL)	Eu3+, Tb3+	f-f transition luminescence with time-gating	0.1 nM	0.1 nM - 10 μM	Protocol_TRL_v1	Fluorescence plate reader with time-resolved detection	Cell lysis, dilution to assay buffer	Luminescence intensity (RLU) vs. time	https://www.protocols.io/view/lanthanide-trl-assay	extend1
OBI:ICP-001	ICP-OES Lanthanide Quantification	ICP-OES	La, Ce, Pr, Nd, Eu, Gd, Tb	Optical emission spectroscopy	1 ppb	1 ppb - 100 ppm	EPA Method 200.7	ICP-OES spectrometer, argon supply	Acid digestion (HNO3), dilution	Element concentrations (mg/L)	https://www.epa.gov/esam/method-2007-determination-metals-and-trace-elements-water-and-wastes-inductively-coupled	extend1|10.1038/nature16174|10.1073/pnas.1600558113|10.1038/nchembio.1947|PMID:38269599|PMID:31421721|PMID:31552950|PMID:40328142|PMID:36719530|PMID:24816778|PMID:28686571|PMID:25943904|10.1101/2023.09.15.557123v1|10.1101/2023.08.22.554321v1|10.3389/fbioe.2023.1130939
OBI:FACS-001	High-REE Binding Cell Sorting	FACS	Europium-bound cells	Europium luminescence gating	Single cell	10^3 - 10^7 cells	Protocol_FACS_v1	Flow cytometer with 355 nm excitation	Eu3+ incubation, wash, resuspension	Sorted cell populations (FCS files)	https://www.protocols.io/view/facs-ree-binding	extend1
OBI:TRL-002	Microplate-based TRL Assay for Lanthanide Screening	time-resolved luminescence (TRL)	Eu3+, Tb3+, Sm3+, Dy3+	Time-gated luminescence with 100 μs delay	0.05 nM	0.05 nM - 50 μM	Protocol_TRL_HTP_v1	Tecan Spark multimode plate reader, black 384-well plates	Cell lysis with Triton X-100, 1:10 dilution in TRL buffer (pH 7.4)	Luminescence counts (CPS) and calculated concentrations	https://www.protocols.io/view/lanthanide-trl-htp-screening	extend1
OBI:ICP-002	Multi-element REE Analysis by ICP-MS	ICP-MS	La, Ce, Pr, Nd, Sm, Eu, Gd, Tb, Dy, Ho, Er, Tm, Yb, Lu	Quadrupole ICP-MS with collision/reaction cell	0.01 ppb	0.01 ppb - 1 ppm	EPA Method 200.8	Agilent 7900 ICP-MS, microwave digestion system	Microwave-assisted acid digestion (HNO3 + H2O2), dilution to 2% HNO3	Elemental concentrations (μg/L) with isotope ratios	https://www.epa.gov/esam/method-2008-determination-trace-elements-waters-and-wastes-inductively-coupled-plasma-mass	extend1|10.1038/nature16174|10.1073/pnas.1600558113|10.1038/nchembio.1947|PMID:38269599|PMID:31421721|PMID:31552950|PMID:40328142|PMID:36719530|PMID:24816778|PMID:28686571|PMID:25943904|10.1101/2023.09.15.557123v1|10.1101/2023.08.22.554321v1|10.3389/fbioe.2023.1130939
OBI:FACS-002	Lanthanide Binding Cell Enrichment via FACS	FACS	Lanthanide-binding cells (Eu3+ fluorescence)	355 nm excitation, 615 nm emission (Eu3+ 5D0→7F2 transition)	Single cell with >10^4 Eu3+ ions bound	10^3 - 10^7 cells	Protocol_FACS_REE_v2	BD FACSAria Fusion, 355 nm UV laser, custom 610/20 nm filter	Eu3+ incubation (100 μM, 1h), PBS wash (3x), resuspension in sort buffer	Sorted cell populations, FCS files, enrichment fold-change	https://www.protocols.io/view/facs-ree-enrichment-v2	extend1
OBI:Fluor-001	Steady-State Fluorescence Spectroscopy for Lanthanide Complexation	fluorescence spectroscopy	Eu3+, Tb3+ complexes with organic ligands	Excitation at ligand absorption wavelength, emission at lanthanide f-f transitions	1 nM	1 nM - 100 μM		Fluorescence spectrometer (Horiba FluoroMax-4), quartz cuvettes	Mix lanthanide (10 μM) with ligand (0-100 μM) in buffered solution	Emission spectra (300-700 nm), binding constants from titration		extend1
OBI:UV-001	UV-Vis Absorption Spectroscopy for Lanthanide Complex Formation	UV-visible spectroscopy	Lanthanide-ligand complexes	Absorbance at ligand peak wavelength (250-400 nm)	100 nM	100 nM - 1 mM		UV-Vis spectrophotometer, quartz cuvettes (1 cm path length)	Prepare lanthanide-ligand mixtures in transparent buffer (pH 7.0)	Absorption spectra (200-800 nm), Job plots for stoichiometry		extend1
OBI:XRF-001	X-ray Fluorescence for Solid-Phase REE Quantification	X-ray fluorescence (XRF)	All lanthanides in solid matrices	Energy-dispersive X-ray fluorescence (ED-XRF)	10 ppm	10 ppm - 100%		Handheld XRF analyzer or benchtop ED-XRF	Dry biomass, pressed pellets, or direct solid sampling	Elemental composition (wt%), REE oxide concentrations		extend1|10.3389/fbioe.2023.1130939
OBI:AA-001	Atomic Absorption Spectroscopy for Lanthanide Quantification	atomic absorption spectroscopy (AAS)	Individual lanthanides (one element at a time)	Flame or graphite furnace atomic absorption	1 ppb (GFAAS) or 10 ppb (FAAS)	1 ppb - 100 ppm	EPA Method 7000B	AA spectrometer with lanthanide hollow cathode lamps	Acid digestion, dilution to working range, matrix matching	Absorbance values, calculated concentrations (mg/L)	https://www.epa.gov/hw-sw846/sw-846-test-method-7000b-flame-atomic-absorption-spectrophotometry	extend1
