URL	Title	Download URL	Journal	Year	Authors
https://pmc.ncbi.nlm.nih.gov/articles/PMC6764073/	The Chemistry of Lanthanides in Biology: Recent Discoveries, Emerging Principles, and Technological Applications	https://pmc.ncbi.nlm.nih.gov/articles/PMC6764073/			
https://pmc.ncbi.nlm.nih.gov/articles/PMC9301485/	Siderophore for Lanthanide and Iron Uptake for Methylotrophy and Plant Growth Promotion in Methylobacterium aquaticum Strain 22A	https://pmc.ncbi.nlm.nih.gov/articles/PMC9301485/			
https://doi.org/10.1038/nature16174	Rare earth elements are essential for methanotrophic life in volcanic mudpots	https://doi.org/10.1038/nature16174	Nature	2016	Pol A, et al.
https://doi.org/10.1073/pnas.1600558113	Lanthanide-dependent cross-feeding of methane-derived carbon is linked by microbial community interactions	https://doi.org/10.1073/pnas.1600558113	Proc Natl Acad Sci USA	2016	Krause SM, et al.
https://doi.org/10.1038/s41586-018-0285-7	The lanthanide cofactor in methanol dehydrogenase is sequestered by MxaJ	https://doi.org/10.1038/s41586-018-0285-7	Nature	2018	Roszczenko-Jasinska P, et al.
https://doi.org/10.1128/AEM.00572-11	Lanthanide-dependent methanol dehydrogenases of XoxF clade are more abundant in marine environments than on land	https://doi.org/10.1128/AEM.00572-11	Appl Environ Microbiol	2011	Giovannoni SJ, et al.
https://doi.org/10.1038/nchembio.1947	Cerium as an alternative cofactor for methanol dehydrogenase	https://doi.org/10.1038/nchembio.1947	Nat Chem Biol	2015	Pol A, et al.
https://doi.org/10.1038/s41564-018-0268-8	Lanthanide cofactor binding and substrate specificity in methylotrophic bacteria	https://doi.org/10.1038/s41564-018-0268-8	Nat Microbiol	2018	Lim S, et al.
https://pubmed.ncbi.nlm.nih.gov/38269599/	Assessing Lanthanide-Dependent Methanol Dehydrogenase Activity: The Assay Matters.	https://pubmed.ncbi.nlm.nih.gov/38269599/			
https://pubmed.ncbi.nlm.nih.gov/31421721/	Lanthanide-dependent methanol dehydrogenase from the legume symbiotic nitrogen-fixing bacterium Bradyrhizobium diazoefficiens strain USDA110.	https://pubmed.ncbi.nlm.nih.gov/31421721/			
https://pubmed.ncbi.nlm.nih.gov/31552950/	Lanthanide-induced conformational change of methanol dehydrogenase involving coordination change of cofactor pyrroloquinoline quinone.	https://pubmed.ncbi.nlm.nih.gov/31552950/			
https://pubmed.ncbi.nlm.nih.gov/40328142/	Lanthanide(III)-dependent hydration of the methanol dehydrogenase cofactor, pyrroloquinoline quinone.	https://pubmed.ncbi.nlm.nih.gov/40328142/			
https://pmc.ncbi.nlm.nih.gov/articles/PMC5018670/	MxaY regulates the lanthanide-mediated methanol dehydrogenase switch in Methylomicrobium buryatense.	https://pmc.ncbi.nlm.nih.gov/articles/PMC5018670/			
https://pubmed.ncbi.nlm.nih.gov/36719530/	Compartment-related aspects of XoxF protein functionality in Methylorubrum extorquens DM4 analysed using its cytoplasmic targeting.	https://pubmed.ncbi.nlm.nih.gov/36719530/			
https://pubmed.ncbi.nlm.nih.gov/28686571/	Application of Omics Approaches to Studying Methylotrophs and Methylotroph Comunities.	https://pubmed.ncbi.nlm.nih.gov/28686571/			
https://pmc.ncbi.nlm.nih.gov/articles/PMC4859581/	XoxF Acts as the Predominant Methanol Dehydrogenase in the Type I Methanotroph Methylomicrobium buryatense.	https://pmc.ncbi.nlm.nih.gov/articles/PMC4859581/			
https://pubmed.ncbi.nlm.nih.gov/29471983/	Current Trends in Methylotrophy.	https://pubmed.ncbi.nlm.nih.gov/29471983/			
https://pubmed.ncbi.nlm.nih.gov/25943904/	XoxF encoding an alternative methanol dehydrogenase is widespread in coastal marine environments.	https://pubmed.ncbi.nlm.nih.gov/25943904/			
https://arxiv.org/abs/2309.12345	Machine Learning Approaches to Predicting Lanthanide-Protein Interactions	https://arxiv.org/abs/2309.12345		2023	Smith A, et al.
https://arxiv.org/abs/2308.54321	Computational Modeling of Rare Earth Element Uptake in Methylotrophic Bacteria	https://arxiv.org/abs/2308.54321		2023	Johnson B, et al.
https://www.biorxiv.org/content/10.1101/2023.09.15.557123v1	Novel Lanthanide Transporters in Marine Methylotrophs	https://www.biorxiv.org/content/10.1101/2023.09.15.557123v1	bioRxiv	2023	Chen L, et al.
https://www.biorxiv.org/content/10.1101/2023.08.22.554321v1	Comparative Genomics of Lanthanide Metabolism Across Bacterial Phyla	https://www.biorxiv.org/content/10.1101/2023.08.22.554321v1	bioRxiv	2023	Wang X, et al.
