process_id	process_name	process_type	strain_used	organism_used	growth_conditions	ree_concentration	contact_time	pH	temperature	competing_ions	process_parameters	optimization_history	Download URL	source
Custom_biosorption_from_1-s2.0-S0048969724085061-main	Biosorption process from 1-s2.0-S0048969724085061-main	biosorption									"{""source"": ""Extracted from 1-s2.0-S0048969724085061-main""}"			1-s2.0-S0048969724085061-main
Custom_bioaccumulation_from_1-s2.0-S0048969724085061-main	Bioaccumulation process from 1-s2.0-S0048969724085061-main	bioaccumulation									"{""source"": ""Extracted from 1-s2.0-S0048969724085061-main""}"			1-s2.0-S0048969724085061-main
Custom_biosorption_from_1-s2.0-S095816692400106X-main	Biosorption process from 1-s2.0-S095816692400106X-main	biosorption									"{""source"": ""Extracted from 1-s2.0-S095816692400106X-main""}"			1-s2.0-S095816692400106X-main
Custom_bioaccumulation_from_1-s2.0-S095816692400106X-main	Bioaccumulation process from 1-s2.0-S095816692400106X-main	bioaccumulation									"{""source"": ""Extracted from 1-s2.0-S095816692400106X-main""}"			1-s2.0-S095816692400106X-main
Custom_bioaccumulation_from_Defluorination of per- and polyfluoroalkyl carboxylic acids  PFCAs  by wood decomposer fungi	Bioaccumulation process from Defluorination of per- and polyfluoroalkyl carboxylic acids  PFCAs  by wood decomposer fungi	bioaccumulation									"{""source"": ""Extracted from Defluorination of per- and polyfluoroalkyl carboxylic acids  PFCAs  by wood decomposer fungi""}"			10.1080/00275514.2025.2499476
Custom_bioaccumulation_from_1-s2.0-S0045653514001635-main	Bioaccumulation process from 1-s2.0-S0045653514001635-main	bioaccumulation									"{""source"": ""Extracted from 1-s2.0-S0045653514001635-main""}"			1-s2.0-S0045653514001635-main
Custom_biosorption_from_doi_10_1007-s11756-024-01654-0	Biosorption process from doi_10_1007-s11756-024-01654-0	biosorption									"{""source"": ""Extracted from doi_10_1007-s11756-024-01654-0""}"			doi_10_1007-s11756-024-01654-0
Custom_bioaccumulation_from_doi_10_1007-s11756-024-01654-0	Bioaccumulation process from doi_10_1007-s11756-024-01654-0	bioaccumulation									"{""source"": ""Extracted from doi_10_1007-s11756-024-01654-0""}"			doi_10_1007-s11756-024-01654-0
Custom_biosorption_from_d4va00359d	Biosorption process from d4va00359d	biosorption									"{""source"": ""Extracted from d4va00359d""}"			10.1039/d4va00359d
Custom_bioaccumulation_from_d4va00359d	Bioaccumulation process from d4va00359d	bioaccumulation									"{""source"": ""Extracted from d4va00359d""}"			10.1039/d4va00359d
Custom_biosorption_from_sciadv.ado2957	Biosorption process from sciadv.ado2957	biosorption							121.0		"{""source"": ""Extracted from sciadv.ado2957""}"			sciadv.ado2957
Custom_biosorption_from_che-et-al-2024-synergistic-material-microbe-interface-toward-deeper-anaerobic-defluorination	Biosorption process from che-et-al-2024-synergistic-material-microbe-interface-toward-deeper-anaerobic-defluorination	biosorption									"{""source"": ""Extracted from che-et-al-2024-synergistic-material-microbe-interface-toward-deeper-anaerobic-defluorination""}"			10.1073/pnas.​
Custom_biosorption_from_biotransforming-the-forever-chemicals-trends-and-insights-from-microbiological-studies-on-pfas	Biosorption process from biotransforming-the-forever-chemicals-trends-and-insights-from-microbiological-studies-on-pfas	biosorption									"{""source"": ""Extracted from biotransforming-the-forever-chemicals-trends-and-insights-from-microbiological-studies-on-pfas""}"			biotransforming-the-forever-chemicals-trends-and-insights-from-microbiological-studies-on-pfas
Custom_bioaccumulation_from_biotransforming-the-forever-chemicals-trends-and-insights-from-microbiological-studies-on-pfas	Bioaccumulation process from biotransforming-the-forever-chemicals-trends-and-insights-from-microbiological-studies-on-pfas	bioaccumulation									"{""source"": ""Extracted from biotransforming-the-forever-chemicals-trends-and-insights-from-microbiological-studies-on-pfas""}"			biotransforming-the-forever-chemicals-trends-and-insights-from-microbiological-studies-on-pfas
Custom_bioaccumulation_from_PMID_36581124	Bioaccumulation process from PMID_36581124	bioaccumulation									"{""source"": ""Extracted from PMID_36581124""}"			10.1016/j.chemosphere.2022.137653.
Custom_bioaccumulation_from_doi_10_3390-su151814000	Bioaccumulation process from doi_10_3390-su151814000	bioaccumulation									"{""source"": ""Extracted from doi_10_3390-su151814000""}"			doi_10_3390-su151814000
Custom_biosorption_from_2025.09.19.677392v1.full	Biosorption process from 2025.09.19.677392v1.full	biosorption									"{""source"": ""Extracted from 2025.09.19.677392v1.full""}"			2025.09.19.677392v1.full
Custom_bioaccumulation_from_2025.09.19.677392v1.full	Bioaccumulation process from 2025.09.19.677392v1.full	bioaccumulation									"{""source"": ""Extracted from 2025.09.19.677392v1.full""}"			2025.09.19.677392v1.full
