chemical_id	chemical_name	compound_type	molecular_formula	molecular_weight	role_in_bioprocess	chebi_id	pubchem_id	chembl_id	properties	Download URL	source	Unnamed: 12
PubChem:69619	3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,10-heptadecafluorodecan-1-ol	pfas	C10H5F17O		PFAS compound for biodegradation studies		69619.0		"{""source"": ""PubChem"", ""iupac_name"": ""3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,10-heptadecafluorodecan-1-ol""}"	https://pubchem.ncbi.nlm.nih.gov/compound/69619	extend2	
PFDA	Perfluorodecanoic acid	PFCA	C10HF19O2	514.08	long-chain PFCA; industrial fluorosurfactant	CHEBI:35546	9555.0	CHEMBL1885037	very persistent; strongly bioaccumulative and toxic in animal studies	https://pubchem.ncbi.nlm.nih.gov/compound/9555	PubChem; ChEBI; ChEMBL|10.3390/toxics11121001	
PFDS	Perfluorodecanesulfonic acid	PFSA	C10HF21O3S	600.14	very long-chain PFSA; found in marine organisms and sewage sludge		67636.0		strong acid and persistent organic pollutant with high sorption and bioaccumulation	https://pubchem.ncbi.nlm.nih.gov/compound/67636	PubChem; Wikipedia	
PFUnDA	Perfluoroundecanoic acid	PFCA	C11HF21O2	564.09	long-chain PFCA; found in consumer-product and environmental samples	CHEBI:83493	77222.0		very persistent PFCA with strong bioaccumulation potential	https://pubchem.ncbi.nlm.nih.gov/compound/77222	PubChem; ChEBI	
PFDoDA	Perfluorododecanoic acid	PFCA	C12HF23O2	614.1	long-chain PFCA; minor component in some technical PFAS mixtures		67545.0		very hydrophobic and bioaccumulative; detected in sediments and biota	https://pubchem.ncbi.nlm.nih.gov/compound/67545	PubChem	
PFTrDA	Perfluorotridecanoic acid	PFCA	C13HF25O2	664.1	very long-chain PFCA; occurs in some fluorotelomer-based products		3018355.0		extremely hydrophobic PFCA with potential for strong bioaccumulation	https://pubchem.ncbi.nlm.nih.gov/compound/3018355	PubChem	
PFTeDA	Perfluorotetradecanoic acid	PFCA	C14HF27O2	714.11	very long-chain PFCA; analytical reference standard and environmental contaminant		67822.0		high-molecular-weight PFCA; strongly sorbing and bioaccumulative	https://pubchem.ncbi.nlm.nih.gov/compound/67822	PubChem	
PFBA	Perfluorobutanoic acid	PFCA	C4HF7O2	214.04	short-chain PFCA; chromatographic reagent and environmental contaminant	CHEBI:39426	9777.0	CHEMBL367680	very water-soluble, mobile in environment; breakdown product of other PFAS	https://pubchem.ncbi.nlm.nih.gov/compound/9777	PubChem; ChEBI; ChEMBL|10.3390/su151814000	
PFBS	Perfluorobutanesulfonic acid	PFSA	C4HF9O3S	300.1	short-chain PFSA; replacement for PFOS in some applications	CHEBI:132446	67815.0		more mobile and somewhat less bioaccumulative than PFOS but still very persistent	https://pubchem.ncbi.nlm.nih.gov/compound/67815	PubChem; ChEBI|10.3390/su151814000	
PFPeS	Perfluoropentanesulfonic acid	PFSA	C5HF11O3S	350.1	short- to medium-chain PFSA; found in industrial PFAS mixtures		75922.0		persistent PFSA; data suggest occurrence in water and biota near sources	https://pubchem.ncbi.nlm.nih.gov/compound/75922	PubChem	
PFPeA	Perfluoropentanoic acid	PFCA	C5HF9O2	264.05	short-chain PFCA; used as fluorosurfactant and found in environmental samples		75921.0		more mobile and generally less bioaccumulative than long-chain PFCAs	https://pubchem.ncbi.nlm.nih.gov/compound/75921	PubChem|10.3390/su151814000	
PFHxA	Perfluorohexanoic acid	PFCA	C6HF11O2	314.05	short-chain PFCA; degradation product of some fluoropolymers	CHEBI:83492	67542.0	CHEMBL3183213	moderately persistent but with relatively low bioaccumulation compared to PFOA	https://pubchem.ncbi.nlm.nih.gov/compound/67542	PubChem; ChEBI; ChEMBL|10.3390/su151814000|10.3390/toxics11121001	
HFPO-DA	Hexafluoropropylene oxide dimer acid (GenX)	PFAS (replacement)	C6HF11O3	330.05	replacement processing aid for fluoropolymer manufacture	CHEBI:143205	114481.0	CHEMBL2008338	perfluoroalkyl ether carboxylic acid (PFECA); highly persistent and mobile	https://pubchem.ncbi.nlm.nih.gov/compound/114481	PubChem; ChEBI; ChEMBL; EPA GenX documents	
PFHxS	Perfluorohexanesulfonic acid	PFSA	C6HF13O3S	400.12	legacy PFSA used in AFFF foams and surface treatments	CHEBI:132448	67734.0	CHEMBL1906987	highly persistent PFSA with long human serum half-life and bioaccumulation	https://pubchem.ncbi.nlm.nih.gov/compound/67734	PubChem; ChEBI; ChEMBL	
PFHpA	Perfluoroheptanoic acid	PFCA	C7HF13O2	364.06	medium-chain PFCA; detected in human and environmental monitoring		67818.0		intermediate chain length; more bioaccumulative than PFHxA but less than PFOA/PFNA	https://pubchem.ncbi.nlm.nih.gov/compound/67818	PubChem|10.3390/su151814000|10.3390/toxics11121001	
PFHpS	Perfluoroheptanesulfonic acid	PFSA	C7HF15O3S	450.11	long-chain PFSA; detected in PFAS-impacted sites		67820.0		persistent PFSA; less commonly monitored but structurally similar to PFHxS and PFOS	https://pubchem.ncbi.nlm.nih.gov/compound/67820	PubChem	
PubChem:69785	1,1,2,2,3,3,4,4,5,5,6,6,7,7,8,8,8-heptadecafluorooctane-1-sulfonamide	pfas	C8H2F17NO2S		PFAS compound for biodegradation studies		69785.0		"{""source"": ""PubChem"", ""iupac_name"": ""1,1,2,2,3,3,4,4,5,5,6,6,7,7,8,8,8-heptadecafluorooctane-1-sulfonamide""}"	https://pubchem.ncbi.nlm.nih.gov/compound/69785	extend2	
PubChem:69537	3,3,4,4,5,5,6,6,7,7,8,8,8-tridecafluorooctan-1-ol	pfas	C8H5F13O		PFAS compound for biodegradation studies		69537.0		"{""source"": ""PubChem"", ""iupac_name"": ""3,3,4,4,5,5,6,6,7,7,8,8,8-tridecafluorooctan-1-ol""}"	https://pubchem.ncbi.nlm.nih.gov/compound/69537	extend2	
PFOA	Perfluorooctanoic acid	PFCA	C8HF15O2	414.07	legacy PFCA; used as surfactant in fluoropolymer production	CHEBI:35549	9554.0	CHEMBL172988	highly persistent and bioaccumulative; well-studied toxicant	https://pubchem.ncbi.nlm.nih.gov/compound/9554	PubChem; ChEBI; ChEMBL|10.1371/journal.pone.0303904|10.1007/s11756-024-01654-0|10.3390/su151814000|10.3390/toxics11121001|PMID:34780734|PMID:36581124|PMID:35217058|PMID:38373549|PMID:32120220	
PFOS	Perfluorooctanesulfonic acid	PFSA	C8HF17O3S	500.13	legacy PFSA; widely used surfactant in coatings and AFFF foams	CHEBI:35595	74483.0		archetypal persistent organic pollutant; strongly bioaccumulative and toxic	https://pubchem.ncbi.nlm.nih.gov/compound/74483	PubChem; ChEBI; EPA/ACS summaries|10.3390/toxics11121001	
PFNA	Perfluorononanoic acid	PFCA	C9HF17O2	464.08	long-chain PFCA; environmental contaminant and surfactant	CHEBI:38397	67821.0	CHEMBL426404	very persistent and bioaccumulative; often found with PFOA and PFOS in biota	https://pubchem.ncbi.nlm.nih.gov/compound/67821	PubChem; ChEBI; ChEMBL|10.3390/su151814000|10.3390/toxics11121001	
PFNS	Perfluorononanesulfonic acid	PFSA	C9HF19O3S	550.13	long-chain PFSA; present in some legacy PFAS formulations				very persistent PFSA; expected strong sorption and bioaccumulation		general PFSA literature	
ADONA	Ammonium 4	8-dioxa-3H-perfluorononanoate (ADONA)	PFAS (replacement)	C7H2F12O4	332.07	replacement PFAS surfactant used in some fluoropolymer production		52915299		short-chain ether PFAS; persistent and highly mobile in aquatic systems	https://pubchem.ncbi.nlm.nih.gov/compound/52915299	PubChem
