gene_or_protein_id	gene_name	annotation	organism	ec_number	go_terms	chebi_terms	sequence_download_url	source	paper_reference
Custom_dehydrogenation_from_1-s2.0-S0048969724085061-main	dehydrogenation	dehalogenase gene mentioned in 1-s2.0-S0048969724085061-main						1-s2.0-S0048969724085061-main	1-s2.0-S0048969724085061-main
Custom_dehalogenation_from_1-s2.0-S0048969724085061-main	dehalogenation	dehalogenase gene mentioned in 1-s2.0-S0048969724085061-main						1-s2.0-S0048969724085061-main|10.1371/journal.pone.0303904|10.3390/toxics11121001	1-s2.0-S0048969724085061-main
Custom_dehalogenated_from_1-s2.0-S0048969724085061-main	dehalogenated	dehalogenase gene mentioned in 1-s2.0-S0048969724085061-main						1-s2.0-S0048969724085061-main	1-s2.0-S0048969724085061-main
Custom_dehalogenase_from_1-s2.0-S095816692400106X-main	dehalogenase	dehalogenase gene mentioned in 1-s2.0-S095816692400106X-main						1-s2.0-S095816692400106X-main|10.1371/journal.pone.0303904|10.1007/s11756-024-01654-0|10.3390/toxics11121001	1-s2.0-S095816692400106X-main
Custom_dehalogenated_from_1-s2.0-S095816692400106X-main	dehalogenated	dehalogenase gene mentioned in 1-s2.0-S095816692400106X-main						1-s2.0-S095816692400106X-main	1-s2.0-S095816692400106X-main
Custom_DeHa_from_1-s2.0-S095816692400106X-main	DeHa	dehalogenase gene mentioned in 1-s2.0-S095816692400106X-main						1-s2.0-S095816692400106X-main	1-s2.0-S095816692400106X-main
Custom_dehydrogenating_from_1-s2.0-S095816692400106X-main	dehydrogenating	dehalogenase gene mentioned in 1-s2.0-S095816692400106X-main						1-s2.0-S095816692400106X-main	1-s2.0-S095816692400106X-main
Custom_dehalogenation_from_1-s2.0-S095816692400106X-main	dehalogenation	dehalogenase gene mentioned in 1-s2.0-S095816692400106X-main						1-s2.0-S095816692400106X-main|10.1371/journal.pone.0303904|10.3390/toxics11121001	1-s2.0-S095816692400106X-main
Custom_RdhA_from_1-s2.0-S095816692400106X-main	RdhA	dehalogenase gene mentioned in 1-s2.0-S095816692400106X-main						1-s2.0-S095816692400106X-main	1-s2.0-S095816692400106X-main
Custom_dehalogenases_from_1-s2.0-S095816692400106X-main	dehalogenases	dehalogenase gene mentioned in 1-s2.0-S095816692400106X-main						1-s2.0-S095816692400106X-main|10.3390/toxics11121001	1-s2.0-S095816692400106X-main
Custom_rdhA_from_1-s2.0-S095816692400106X-main	rdhA	dehalogenase gene mentioned in 1-s2.0-S095816692400106X-main						1-s2.0-S095816692400106X-main	1-s2.0-S095816692400106X-main
Custom_deha_from_1-s2.0-S095816692400106X-main	deha	dehalogenase gene mentioned in 1-s2.0-S095816692400106X-main						1-s2.0-S095816692400106X-main	1-s2.0-S095816692400106X-main
Custom_Dehalogenating_from_1-s2.0-S095816692400106X-main	Dehalogenating	dehalogenase gene mentioned in 1-s2.0-S095816692400106X-main						1-s2.0-S095816692400106X-main	1-s2.0-S095816692400106X-main
Custom_haloalkane dehalogenase_from_1-s2.0-S095816692400106X-main	haloalkane dehalogenase	dehalogenase gene mentioned in 1-s2.0-S095816692400106X-main						1-s2.0-S095816692400106X-main|10.3390/toxics11121001	1-s2.0-S095816692400106X-main
Custom_crcB_from_1-s2.0-S095816692400106X-main	crcB	fluoride_resistance gene mentioned in 1-s2.0-S095816692400106X-main						1-s2.0-S095816692400106X-main|10.3390/toxics11121001	1-s2.0-S095816692400106X-main
Custom_CrcB_from_1-s2.0-S095816692400106X-main	CrcB	fluoride_resistance gene mentioned in 1-s2.0-S095816692400106X-main						1-s2.0-S095816692400106X-main|10.3390/toxics11121001	1-s2.0-S095816692400106X-main
Custom_dehalogenated_from_Defluorination of per- and polyfluoroalkyl carboxylic acids  PFCAs  by wood decomposer fungi	dehalogenated	dehalogenase gene mentioned in Defluorination of per- and polyfluoroalkyl carboxylic acids  PFCAs  by wood decomposer fungi						10.1080/00275514.2025.2499476	Defluorination of per- and polyfluoroalkyl carboxylic acids  PFCAs  by wood decomposer fungi
Custom_dehalogenase_from_Defluorination of per- and polyfluoroalkyl carboxylic acids  PFCAs  by wood decomposer fungi	dehalogenase	dehalogenase gene mentioned in Defluorination of per- and polyfluoroalkyl carboxylic acids  PFCAs  by wood decomposer fungi						10.1080/00275514.2025.2499476|10.1371/journal.pone.0303904|10.1007/s11756-024-01654-0|10.3390/toxics11121001	Defluorination of per- and polyfluoroalkyl carboxylic acids  PFCAs  by wood decomposer fungi
Custom_dehalogenation_from_Defluorination of per- and polyfluoroalkyl carboxylic acids  PFCAs  by wood decomposer fungi	dehalogenation	dehalogenase gene mentioned in Defluorination of per- and polyfluoroalkyl carboxylic acids  PFCAs  by wood decomposer fungi						10.1080/00275514.2025.2499476|10.1371/journal.pone.0303904|10.3390/toxics11121001	Defluorination of per- and polyfluoroalkyl carboxylic acids  PFCAs  by wood decomposer fungi
Custom_dehalogenase_from_doi_10_1007-s11756-024-01654-0	dehalogenase	dehalogenase gene mentioned in doi_10_1007-s11756-024-01654-0						doi_10_1007-s11756-024-01654-0|10.1371/journal.pone.0303904|10.1007/s11756-024-01654-0|10.3390/toxics11121001	doi_10_1007-s11756-024-01654-0
Custom_dehydrogenase_from_d4va00359d	dehydrogenase	dehalogenase gene mentioned in d4va00359d						10.1039/d4va00359d	d4va00359d
Custom_crcB_from_d4va00359d	crcB	fluoride_resistance gene mentioned in d4va00359d						10.1039/d4va00359d|10.3390/toxics11121001	d4va00359d
Custom_CrcB_from_d4va00359d	CrcB	fluoride_resistance gene mentioned in d4va00359d						10.1039/d4va00359d|10.3390/toxics11121001	d4va00359d
