Reaction identifier	Equation	Enzyme class	Enzymes	Note	reaction_category	source
RHEA:46956	hydrocaffeoyl-CoA + 2 reduced [2Fe-2S]-[ferredoxin] + 2 NAD(+) = (E)-caffeoyl-CoA + 2 oxidized [2Fe-2S]-[ferredoxin] + 2 NADH	EC:1.3.1.108 caffeoyl-CoA reductase	3		known_pfas_degraders	reactions_excel
RHEA:49060	a long-chain alkane + FMNH2 + O2 = a long chain fatty alcohol + FMN + H2O + H(+)	EC:1.14.14.28 long-chain alkane monooxygenase	1		known_pfas_degraders	reactions_excel
RHEA:36779	GDP-alpha-D-perosamine + 2-oxoglutarate = GDP-4-dehydro-alpha-D-rhamnose + L-glutamate	EC:2.6.1.102 GDP-perosamine synthase	3		known_pfas_degraders	reactions_excel
RHEA:36811	GDP-alpha-D-perosamine + acetyl-CoA = GDP-N-acetyl-alpha-D-perosamine + CoA + H(+)	EC:2.3.1.227 GDP-perosamine N-acetyltransferase	1		known_pfas_degraders	reactions_excel
RHEA:22888	(R)-methylmalonyl-CoA = succinyl-CoA	EC:5.4.99.2 methylmalonyl-CoA mutase	3628		known_pfas_degraders	reactions_excel
RHEA:16737	toluene + NADH + O2 + H(+) = (1S,2R)-3-methylcyclohexa-3,5-diene-1,2-diol + NAD(+)	EC:1.14.12.11 toluene dioxygenase	4		known_pfas_degraders	reactions_excel
RHEA:13837	cis-4,5-dihydroxycyclohexa-2,6-diene-1,2-dicarboxylate + NAD(+) = 4,5-dihydroxyphthalate + NADH + H(+)	EC:1.3.1.64 phthalate 4,5-cis-dihydrodiol dehydrogenase	0		known_pfas_degraders	reactions_excel
RHEA:10744	(3S,4R)-3,4-dihydroxycyclohexa-1,5-diene-1,4-dicarboxylate + NAD(+) = 3,4-dihydroxybenzoate + CO2 + NADH	EC:1.3.1.53 (3S,4R)-3,4-dihydroxycyclohexa-1,5-diene-1,4-dicarboxylate dehydrogenase	2		known_pfas_degraders	reactions_excel
RHEA:16253	(3S,4R)-3,4-dihydrophenanthrene-3,4-diol + NAD(+) = phenanthrene-3,4-diol + NADH + H(+)	EC:1.3.1.49 cis-3,4-dihydrophenanthrene-3,4-diol dehydrogenase	1		known_pfas_degraders	reactions_excel
RHEA:24188	cis-1,2-dihydroxy-1,2-dihydrodibenzothiophene + NAD(+) = 1,2-dihydroxydibenzothiophene + NADH + H(+)	EC:1.3.1.60 dibenzothiophene dihydrodiol dehydrogenase	2		known_pfas_degraders	reactions_excel
RHEA:22248	7,8-dihydro-7,8-dihydroxykynurenate + NAD(+) = 7,8-dihydroxykynurenate + NADH + H(+)	EC:1.3.1.18 kynurenate-7,8-dihydrodiol dehydrogenase	0		known_pfas_degraders	reactions_excel
