Reaction identifier	Equation	Enzyme class	Enzymes	reaction_category	source
RHEA:19341	octane + 2 reduced [rubredoxin] + O2 + 2 H(+) = 2 oxidized [rubredoxin] + octan-1-ol + H2O	EC:1.14.15.3 alkane 1-monooxygenase	7	hydrocarbon_degradation	reactions_excel
RHEA:14689	4-chlorophenylacetate + NADH + O2 = 3,4-dihydroxyphenylacetate + chloride + NAD(+)	EC:1.14.12.9 4-chlorophenylacetate 3,4-dioxygenase	0	hydrocarbon_degradation	reactions_excel
RHEA:19477	4-hydroxybenzoate + NADPH + O2 + H(+) = 3,4-dihydroxybenzoate + NADP(+) + H2O	EC:1.14.13.2 4-hydroxybenzoate 3-monooxygenase;EC:1.14.13.33 4-hydroxybenzoate 3-monooxygenase [NAD(P)H]	6	hydrocarbon_degradation	reactions_excel
RHEA:18597	2 reduced [rubredoxin] + NAD(+) + H(+) = 2 oxidized [rubredoxin] + NADH	EC:1.18.1.1 rubredoxin--NAD(+) reductase;EC:1.18.1.4 rubredoxin--NAD(P)(+) reductase	7	hydrocarbon_degradation	reactions_excel
RHEA:17433	choline + A = betaine aldehyde + AH2	EC:1.1.99.1 choline dehydrogenase	7530	hydrocarbon_degradation	reactions_excel
RHEA:25294	acetaldehyde + NAD(+) + H2O = acetate + NADH + 2 H(+)	EC:1.2.1.3 aldehyde dehydrogenase (NAD(+))	2378	hydrocarbon_degradation	reactions_excel
RHEA:16185	an aldehyde + NAD(+) + H2O = a carboxylate + NADH + 2 H(+)	EC:1.2.1.3 aldehyde dehydrogenase (NAD(+));EC:1.2.1.5 aldehyde dehydrogenase [NAD(P)(+)]	24111	hydrocarbon_degradation	reactions_excel
RHEA:24068	cyclohexanone + NADPH + O2 + H(+) = hexano-6-lactone + NADP(+) + H2O	EC:1.14.13.22 cyclohexanone monooxygenase	1	hydrocarbon_degradation	reactions_excel
RHEA:49060	a long-chain alkane + FMNH2 + O2 = a long chain fatty alcohol + FMN + H2O + H(+)	EC:1.14.14.28 long-chain alkane monooxygenase	1	hydrocarbon_degradation	reactions_excel
RHEA:24068	cyclohexanone + NADPH + O2 + H(+) = hexano-6-lactone + NADP(+) + H2O	EC:1.14.13.22 cyclohexanone monooxygenase	1	hydrocarbon_degradation	reactions_excel
RHEA:13397	6-oxohexanoate + NADP(+) + H2O = hexanedioate + NADPH + 2 H(+)	EC:1.2.1.63 6-oxohexanoate dehydrogenase	0	hydrocarbon_degradation	reactions_excel
RHEA:10044	cyclohexanol + NAD(+) = cyclohexanone + NADH + H(+)	EC:1.1.1.245 cyclohexanol dehydrogenase	4	hydrocarbon_degradation	reactions_excel
RHEA:32507	4-isopropenyl-7-methyloxepan-2-one + H2O = 6-hydroxy-3-isopropenylheptanoate + H(+)	EC:3.1.1.83 monoterpene epsilon-lactone hydrolase	1	hydrocarbon_degradation	reactions_excel
RHEA:32511	(4R,7R)-4-isopropenyl-7-methyloxepan-2-one + H2O = (3R,6R)-6-hydroxy-3-isopropenylheptanoate + H(+)	EC:3.1.1.83 monoterpene epsilon-lactone hydrolase	0	hydrocarbon_degradation	reactions_excel
RHEA:32515	(4S,7R)-4-isopropenyl-7-methyloxepan-2-one + H2O = (3S,6R)-6-hydroxy-3-isopropenylheptanoate + H(+)	EC:3.1.1.83 monoterpene epsilon-lactone hydrolase	0	hydrocarbon_degradation	reactions_excel
RHEA:32591	(4R,7S)-7-isopropyl-4-methyloxepan-2-one + H2O = (3R,6S)-6-hydroxy-3,7-dimethyloctanoate + H(+)	EC:3.1.1.83 monoterpene epsilon-lactone hydrolase	0	hydrocarbon_degradation	reactions_excel
RHEA:32595	7-isopropyl-4-methyloxepan-2-one + H2O = 6-hydroxy-3,7-dimethyloctanoate + H(+)	EC:3.1.1.83 monoterpene epsilon-lactone hydrolase	1	hydrocarbon_degradation	reactions_excel
RHEA:14225	6-hydroxyhexanoate + NAD(+) = 6-oxohexanoate + NADH + H(+)	EC:1.1.1.258 6-hydroxyhexanoate dehydrogenase	0	hydrocarbon_degradation	reactions_excel
RHEA:24068	cyclohexanone + NADPH + O2 + H(+) = hexano-6-lactone + NADP(+) + H2O	EC:1.14.13.22 cyclohexanone monooxygenase	1	hydrocarbon_degradation	reactions_excel
