Reaction identifier	Equation	Enzyme class	ec_number	rhea_id	linked_genes	url	reaction_category	source
RHEA:19341	octane + 2 reduced [rubredoxin] + O2 + 2 H(+) = 2 oxidized [rubredoxin] + octan-1-ol + H2O	EC:1.14.15.3 alkane 1-monooxygenase	EC:1.14.15.3	RHEA:19341	K00446	https://www.rhea-db.org/rhea/19341	hydrocarbon_degradation	reactions_excel
RHEA:14689	4-chlorophenylacetate + NADH + O2 = 3,4-dihydroxyphenylacetate + chloride + NAD(+)	EC:1.14.12.9 4-chlorophenylacetate 3,4-dioxygenase	EC:1.14.12.9	RHEA:14689	custom_nahAc	https://www.rhea-db.org/rhea/14689	hydrocarbon_degradation	reactions_excel
RHEA:19477	4-hydroxybenzoate + NADPH + O2 + H(+) = 3,4-dihydroxybenzoate + NADP(+) + H2O	EC:1.14.13.2 4-hydroxybenzoate 3-monooxygenase;EC:1.14.13.33 4-hydroxybenzoate 3-monooxygenase [NAD(P)H]	EC:1.14.13.2;EC:1.14.13.33	RHEA:19477	K00493	https://www.rhea-db.org/rhea/19477	hydrocarbon_degradation	reactions_excel
RHEA:18597	2 reduced [rubredoxin] + NAD(+) + H(+) = 2 oxidized [rubredoxin] + NADH	EC:1.18.1.1 rubredoxin--NAD(+) reductase;EC:1.18.1.4 rubredoxin--NAD(P)(+) reductase	EC:1.18.1.1;EC:1.18.1.4	RHEA:18597		https://www.rhea-db.org/rhea/18597	hydrocarbon_degradation	reactions_excel
RHEA:17433	choline + A = betaine aldehyde + AH2	EC:1.1.99.1 choline dehydrogenase	EC:1.1.99.1	RHEA:17433		https://www.rhea-db.org/rhea/17433	hydrocarbon_degradation	reactions_excel
RHEA:25294	acetaldehyde + NAD(+) + H2O = acetate + NADH + 2 H(+)	EC:1.2.1.3 aldehyde dehydrogenase (NAD(+))	EC:1.2.1.3	RHEA:25294		https://www.rhea-db.org/rhea/25294	hydrocarbon_degradation	reactions_excel
RHEA:16185	an aldehyde + NAD(+) + H2O = a carboxylate + NADH + 2 H(+)	EC:1.2.1.3 aldehyde dehydrogenase (NAD(+));EC:1.2.1.5 aldehyde dehydrogenase [NAD(P)(+)]	EC:1.2.1.3;EC:1.2.1.5	RHEA:16185		https://www.rhea-db.org/rhea/16185	hydrocarbon_degradation	reactions_excel
RHEA:24068	cyclohexanone + NADPH + O2 + H(+) = hexano-6-lactone + NADP(+) + H2O	EC:1.14.13.22 cyclohexanone monooxygenase	EC:1.14.13.22	RHEA:24068	K00493	https://www.rhea-db.org/rhea/24068	hydrocarbon_degradation	reactions_excel
RHEA:49060	a long-chain alkane + FMNH2 + O2 = a long chain fatty alcohol + FMN + H2O + H(+)	EC:1.14.14.28 long-chain alkane monooxygenase	EC:1.14.14.28	RHEA:49060		https://www.rhea-db.org/rhea/49060	hydrocarbon_degradation	reactions_excel
RHEA:24068	cyclohexanone + NADPH + O2 + H(+) = hexano-6-lactone + NADP(+) + H2O	EC:1.14.13.22 cyclohexanone monooxygenase	EC:1.14.13.22	RHEA:24068	K00493	https://www.rhea-db.org/rhea/24068	hydrocarbon_degradation	reactions_excel
RHEA:13397	6-oxohexanoate + NADP(+) + H2O = hexanedioate + NADPH + 2 H(+)	EC:1.2.1.63 6-oxohexanoate dehydrogenase	EC:1.2.1.63	RHEA:13397		https://www.rhea-db.org/rhea/13397	hydrocarbon_degradation	reactions_excel
RHEA:10044	cyclohexanol + NAD(+) = cyclohexanone + NADH + H(+)	EC:1.1.1.245 cyclohexanol dehydrogenase	EC:1.1.1.245	RHEA:10044		https://www.rhea-db.org/rhea/10044	hydrocarbon_degradation	reactions_excel
